"","Year","Film","Role","Notes","Language","Director"
"46","2002","Filhaal...","Rewa Singh",NA,"Hindi","Meghna Gulzar"
"47","2002","Chennakesava Reddy","Devi",NA,"Telugu","V. V. Vinayak"
"48","2002","Zindagi Khoobsoorat Hai","Shalu",NA,"Hindi","Manoj Punj"
"49","2002","Saathiya","Savithri Rao","Special appearance","Hindi","Shaad Ali"
"50","2003","Abar Aranye","Amrita",NA,"Bengali","Goutam Ghose"
"51","2003","Khanjar: The Knife","Shilpa",NA,"Hindi","Chander Sharma"
"52","2003","Hawa","Sanjana",NA,"Hindi","Guddu Dhanoa"
"53","2003","Jaal: The Trap","Neha Pandit",NA,"Hindi","Guddu Dhanoa"
"54","2003","Maqbool","Nimmi",NA,"Hindi","Vishal Bhardwaj"
"55","2004","Main Hoon Na","—","Uncredited","Hindi","Farah Khan"
"56","2004","Meenaxi: A Tale of Three Cities","Meenaxi / Maria Zarkova",NA,"Hindi","M. F. Husain"
"57","2005","Bhagmati","Bhagmati",NA,"Hindi","Ashok Kaul"
"58","2005","Andarivaadu","Shanthi",NA,"Telugu","Srinu Vytla"
"59","2005","Silsiilay","Rehana",NA,"Hindi","Khalid Mohamed"
"60","2006","Shock","Gita",NA,"Telugu","Harish Shankar"
"61","2006","Fanaa","Malini Tyagi",NA,"Hindi","Kunal Kohli"
"62","2006","Namesake","Ashima","Indian-American film","English","Mira Nair"
"63","2007","Sarhad Paar","Pammi",NA,"Hindi","Raman Kumar"
"64","2007","Rakkilippattu","ACP Gayatri Varma",NA,"Malayalam","Priyadarshan"
"65","2007","Cheeni Kum","Nina Verma","Filmfare Critics Award for Best Actress","Hindi","R. Balki"
"66","2007","Om Shanti Om","Herself","Cameo appearance in song ""Deewangi Deewangi""","Hindi","Farah Khan"
"67","2008","Idi Sangathi","Swarajyalakshmi",NA,"Telugu","Chandra Siddhartha"
"68","2008","Pandurangadu","Amrutha","Nominated—Filmfare Award for Best Supporting Actress – Telugu","Telugu","K. Raghavendra Rao"
"69","2010","Toh Baat Pakki","Rajeshwari Saxena",NA,"Hindi","Kedar Shinde"
"70","2010","Khuda Kasam","Neetu Singh",NA,"Hindi","K. C. Bokadia"
"71","2011","Urumi","—","Special appearance","Malayalam","Santosh Sivan"
"72","2012","Life of Pi","Gita Patel","American film","English","Ang Lee"
"73","2013","David","Frenny",NA,"Hindi","Bejoy Nambiar"
"74","2013","David","Frenny",NA,"Tamil","Bejoy Nambiar"
"75","2014","Jai Ho","Geeta Agnihotri",NA,"Hindi","Sohail Khan"
"76","2014","Haider","Ghazala Meer","Also playback singer for song ""Roshe Valle""
Filmfare Award for Best Supporting Actress","Hindi","Vishal Bhardwaj"
"77","2015","Drishyam","Meera Deshmukh","Nominated—Filmfare Award for Best Supporting Actress","Hindi","Nishikant Kamat"
"78","2015","Talvar","Reema Kumar","Guest appearance","Hindi","Meghna Gulzar"
"79","2016","Fitoor","Begum Hazrat Jaan",NA,"Hindi","Abhishek Kapoor"
"80","2016","Missing","TBA","Post-production
Also playback singer for song ""Soja Re""","Hindi","Manoj Abhyankar"
