"","actresses_name","http_link"
"110","Charmila","https://en.wikipedia.org//wiki/Charmila_(actress)"
"111","Charmy Kaur","https://en.wikipedia.org//wiki/Charmy_Kaur"
"112","Chaya Singh","https://en.wikipedia.org//wiki/Chaya_Singh"
"113","Chetana Das","https://en.wikipedia.org//wiki/Chetana_Das"
"114","Chippy","https://en.wikipedia.org//wiki/Chippy_(actress)"
"115","Chithra","https://en.wikipedia.org//wiki/Chithra_(actress)"
"116","Chitrangada Singh","https://en.wikipedia.org//wiki/Chitrangada_Singh"
"117","Chitrashi Rawat","https://en.wikipedia.org//wiki/Chitrashi_Rawat"
"118","Catherine Tresa","https://en.wikipedia.org//wiki/Catherine_Tresa"
"119","Daisy Bopanna","https://en.wikipedia.org//wiki/Daisy_Bopanna"
"120","Daisy Shah","https://en.wikipedia.org//wiki/Daisy_Shah"
"121","Daisy Irani","https://en.wikipedia.org//wiki/Daisy_Irani_(actress)"
"122","Debasree Roy","https://en.wikipedia.org//wiki/Debasree_Roy"
"123","Deeksha Seth","https://en.wikipedia.org//wiki/Deeksha_Seth"
"124","Deepa Sahi","https://en.wikipedia.org//wiki/Deepa_Sahi"
"125","Deepa Sannidhi","https://en.wikipedia.org//wiki/Deepa_Sannidhi"
"126","Deepal Shaw","https://en.wikipedia.org//wiki/Deepal_Shaw"
"127","Deepika Amin","https://en.wikipedia.org//wiki/Deepika_Amin"
"128","Deepika Chikhalia","https://en.wikipedia.org//wiki/Deepika_Chikhalia"
"129","Deepika Kamaiah","https://en.wikipedia.org//wiki/Deepika_Kamaiah"
"130","Deepika Padukone","https://en.wikipedia.org//wiki/Deepika_Padukone"
"131","Deepika Samson","https://en.wikipedia.org//wiki/Deepika_Samson"
"132","Deepika Singh","https://en.wikipedia.org//wiki/Deepika_Singh"
"133","Deepti Naval","https://en.wikipedia.org//wiki/Deepti_Naval"
"134","Deepti Bhatnagar","https://en.wikipedia.org//wiki/Deepti_Bhatnagar"
"135","Delnaaz Paul","https://en.wikipedia.org//wiki/Delnaaz_Paul"
"136","Devayani","https://en.wikipedia.org//wiki/Devayani_(actress)"
"137","Devika","https://en.wikipedia.org//wiki/Devika"
"138","Devika Rani Roerich","https://en.wikipedia.org//wiki/Devika_Rani_Roerich"
"139","Dia Mirza","https://en.wikipedia.org//wiki/Dia_Mirza"
"140","Diana Hayden","https://en.wikipedia.org//wiki/Diana_Hayden"
"141","Diana Penty","https://en.wikipedia.org//wiki/Diana_Penty"
"142","Dimple Jhangiani","https://en.wikipedia.org//wiki/Dimple_Jhangiani"
"143","Dimple Kapadia","https://en.wikipedia.org//wiki/Dimple_Kapadia"
"144","Dipannita Sharma","https://en.wikipedia.org//wiki/Dipannita_Sharma"
"145","Disha Patani","https://en.wikipedia.org//wiki/Disha_Patani"
"146","Disha Vakani","https://en.wikipedia.org//wiki/Disha_Vakani"
"147","Divya Bharati","https://en.wikipedia.org//wiki/Divya_Bharati"
"148","Divya Dutta","https://en.wikipedia.org//wiki/Divya_Dutta"
"149","Divya Spandana","https://en.wikipedia.org//wiki/Divya_Spandana"
"150","Divyanka Tripathi","https://en.wikipedia.org//wiki/Divyanka_Tripathi"
"151","Elli Avram","https://en.wikipedia.org//wiki/Elli_Avram"
"152","Esha Deol","https://en.wikipedia.org//wiki/Esha_Deol"
"153","Esha Gupta","https://en.wikipedia.org//wiki/Esha_Gupta"
"154","Ena Saha","https://en.wikipedia.org//wiki/Ena_Saha"
"155","Evelyn Sharma","https://en.wikipedia.org//wiki/Evelyn_Sharma"
"156","Farah Naaz","https://en.wikipedia.org//wiki/Farah_Naaz"
"157","Farida Jalal","https://en.wikipedia.org//wiki/Farida_Jalal"
"158","Farzana","https://en.wikipedia.org//wiki/Farzana"
"159","Fatma Begum","https://en.wikipedia.org//wiki/Fatma_Begum"
"160","Freida Pinto","https://en.wikipedia.org//wiki/Freida_Pinto"
"161","Feryna Wazheir","https://en.wikipedia.org//wiki/Feryna_Wazheir"
"162","Gajala","https://en.wikipedia.org//wiki/Gajala"
"163","Gayathrie","https://en.wikipedia.org//wiki/Gayathrie"
"164","Gayatri Patel","https://en.wikipedia.org//wiki/Gayatri_Patel"
"165","Gabriela Bertante","https://en.wikipedia.org//wiki/Gabriela_Bertante"
"166","Gauhar Khan","https://en.wikipedia.org//wiki/Gauhar_Khan"
"167","Gauri Karnik","https://en.wikipedia.org//wiki/Gauri_Karnik"
"168","Gayatri Jayaraman","https://en.wikipedia.org//wiki/Gayatri_Jayaraman"
"169","Gayatri Joshi","https://en.wikipedia.org//wiki/Gayatri_Joshi"
"170","Gayathri Raguram","https://en.wikipedia.org//wiki/Gayathri_Raguram"
"171","Geetha","https://en.wikipedia.org//wiki/Geetha_(actress)"
"172","Geeta Bali","https://en.wikipedia.org//wiki/Geeta_Bali"
"173","Geeta Basra","https://en.wikipedia.org//wiki/Geeta_Basra"
"174","Geeta Dutt","https://en.wikipedia.org//wiki/Geeta_Dutt"
"175","Geetu Mohandas","https://en.wikipedia.org//wiki/Geetu_Mohandas"
"176","Genelia D'Souza","https://en.wikipedia.org//wiki/Genelia_D%27Souza"
"177","Girija","https://en.wikipedia.org//wiki/Girija_(actress)"
"178","Girija Shettar","https://en.wikipedia.org//wiki/Girija_Shettar"
"179","Giselli Monteiro","https://en.wikipedia.org//wiki/Giselli_Monteiro"
"180","Gopika","https://en.wikipedia.org//wiki/Gopika"
"181","Gouthami","https://en.wikipedia.org//wiki/Gouthami"
"182","Gowri Pandit","https://en.wikipedia.org//wiki/Gowri_Pandit"
"183","Gowri Munjal","https://en.wikipedia.org//wiki/Gowri_Munjal"
"184","Gul Panag","https://en.wikipedia.org//wiki/Gul_Panag"
"185","Hansika Motwani","https://en.wikipedia.org//wiki/Hansika_Motwani"
"186","Haripriya","https://en.wikipedia.org//wiki/Haripriya"
"187","Harshika Poonacha","https://en.wikipedia.org//wiki/Harshika_Poonacha"
"188","Hazel Keech","https://en.wikipedia.org//wiki/Hazel_Keech"
"189","Heera Rajagopal","https://en.wikipedia.org//wiki/Heera_Rajagopal"
"190","Helen","https://en.wikipedia.org//wiki/Helen_(actress)"
"191","Hema Malini","https://en.wikipedia.org//wiki/Hema_Malini"
"192","Honey Rose","https://en.wikipedia.org//wiki/Honey_Rose"
"193","Hrishitaa Bhatt","https://en.wikipedia.org//wiki/Hrishitaa_Bhatt"
"194","Huma Qureshi","https://en.wikipedia.org//wiki/Huma_Qureshi_(actress)"
"195","Ilene Hamann","https://en.wikipedia.org//wiki/Ilene_Hamann"
"196","Indrani Haldar","https://en.wikipedia.org//wiki/Indrani_Haldar"
"197","Iniya","https://en.wikipedia.org//wiki/Iniya"
"198","Isha Chawla","https://en.wikipedia.org//wiki/Isha_Chawla"
"199","Isha Sharvani","https://en.wikipedia.org//wiki/Isha_Sharvani"
"200","Isha Koppikar","https://en.wikipedia.org//wiki/Isha_Koppikar"
"201","Isha Talwar","https://en.wikipedia.org//wiki/Isha_Talwar"
"202","Iyshwarya Rajesh","https://en.wikipedia.org//wiki/Iyshwarya_Rajesh"
"203","Izabelle Leite","https://en.wikipedia.org//wiki/Izabelle_Leite"
