"","name","http_link"
"141","Roop Kumar Rathod","https://en.wikipedia.org/wiki/Roop_Kumar_Rathod"
"142","Roshan","https://en.wikipedia.org/wiki/Roshan_(music_director)"
"143","T. K. Ramamoorthy","https://en.wikipedia.org/wiki/T._K._Ramamoorthy"
"144","M. G. Radhakrishnan","https://en.wikipedia.org/wiki/M._G._Radhakrishnan"
"145","M. G. Sreekumar","https://en.wikipedia.org/wiki/M._G._Sreekumar"
"146","Sachin–Jigar","https://en.wikipedia.org/wiki/Sachin%E2%80%93Jigar"
"147","Salur Rajeswara Rao","https://en.wikipedia.org/wiki/S._Rajeswara_Rao"
"148","Sadhu Kokila","https://en.wikipedia.org/wiki/Sadhu_Kokila"
"149","Sagar S.","https://en.wikipedia.org/wiki/Sagar_S_(music_director)"
"150","Salil Chowdhury","https://en.wikipedia.org/wiki/Salil_Chowdhury"
"151","Salim–Sulaiman","https://en.wikipedia.org/wiki/Salim%E2%80%93Sulaiman"
"152","Sajid–Wajid","https://en.wikipedia.org/wiki/Sajid%E2%80%93Wajid"
"153","Sandesh Shandilya","https://en.wikipedia.org/wiki/Sandesh_Shandilya"
"154","Sandeep Chowta","https://en.wikipedia.org/wiki/Sandeep_Chowta"
"155","Sanjay Leela Bhansali","https://en.wikipedia.org/wiki/Sanjay_Leela_Bhansali"
"156","Swaroop Anshuman Roy","https://en.wikipedia.org/w/index.php?title=Swaroop_Anshuman_Roy&action=edit&redlink=1"
"157","Sanjeev–Darshan","https://en.wikipedia.org/wiki/Sanjeev%E2%80%93Darshan"
"158","Sankar Ganesh","https://en.wikipedia.org/wiki/Sankar_Ganesh"
"159","Satyam","https://en.wikipedia.org/wiki/Chellapilla_Satyam"
"160","Selvaganesh","https://en.wikipedia.org/wiki/V._Selvaganesh"
"161","Shankar–Ehsaan–Loy","https://en.wikipedia.org/wiki/Shankar%E2%80%93Ehsaan%E2%80%93Loy"
"162","Shankar Mahadevan","https://en.wikipedia.org/wiki/Shankar_Mahadevan"
"163","Shankar-Jaikishan","https://en.wikipedia.org/wiki/Shankar_Jaikishan"
"164","Shantanu Moitra","https://en.wikipedia.org/wiki/Shantanu_Moitra"
"165","Sharreth","https://en.wikipedia.org/wiki/Sharreth"
"166","Shyam","https://en.wikipedia.org/wiki/Shyam_(composer)"
"167","Shruti Haasan","https://en.wikipedia.org/wiki/Shruti_Haasan"
"168","K. S. Simon","https://en.wikipedia.org/wiki/Simon_(music_director)"
"169","Sneha Khanwalkar","https://en.wikipedia.org/wiki/Sneha_Khanwalkar"
"170","Srinivas","https://en.wikipedia.org/wiki/Srinivas_(singer)"
"171","Sohail Sen","https://en.wikipedia.org/wiki/Sohail_Sen"
"172","Srikanth Deva","https://en.wikipedia.org/wiki/Srikanth_Deva"
"173","Snehal Bhatkar","https://en.wikipedia.org/wiki/Snehal_Bhatkar"
"174","Sajjad Hussain","https://en.wikipedia.org/wiki/Sajjad_Hussain_(composer)"
"175","Sudhir Phadke","https://en.wikipedia.org/wiki/Sudhir_Phadke"
"176","Sukhwinder Singh","https://en.wikipedia.org/wiki/Sukhwinder_Singh"
"177","Suresh Peters","https://en.wikipedia.org/wiki/Suresh_Peters"
"178","S. Thaman","https://en.wikipedia.org/wiki/S._Thaman"
"179","Upendra Kumar","https://en.wikipedia.org/wiki/Upendra_Kumar"
"180","Usha Khanna","https://en.wikipedia.org/wiki/Usha_Khanna"
"181","Uttam Singh","https://en.wikipedia.org/wiki/Uttam_Singh"
"182","Varun Unni","https://en.wikipedia.org/wiki/Varun_Unni"
"183","L. Vaidyanathan","https://en.wikipedia.org/wiki/L._Vaidyanathan"
"184","Vani Harikrishna","https://en.wikipedia.org/wiki/Vani_Harikrishna"
"185","Vasant Desai","https://en.wikipedia.org/wiki/Vasant_Desai"
"186","M. Venkataraju","https://en.wikipedia.org/wiki/M._Venkataraju"
