"","name","http_link"
"103","Dharmesh Darshan","https://en.wikipedia.org/wiki/Dharmesh_Darshan"
"104","Suneel Darshan","https://en.wikipedia.org/wiki/Suneel_Darshan"
"105","Anjan Das","https://en.wikipedia.org/wiki/Anjan_Das"
"106","Nandita Das","https://en.wikipedia.org/wiki/Nandita_Das"
"107","K. Dasarath","https://en.wikipedia.org/wiki/K._Dasarath"
"108","Maruthi Dasari","https://en.wikipedia.org/wiki/Maruthi_Dasari"
"109","Birsa Dasgupta","https://en.wikipedia.org/wiki/Birsa_Dasgupta"
"110","Buddhadeb Dasgupta","https://en.wikipedia.org/wiki/Buddhadeb_Dasgupta"
"111","Rahul Dasgupta","https://en.wikipedia.org/wiki/Rahul_Dasgupta"
"112","Shankar Dayal","https://en.wikipedia.org/wiki/Shankar_Dayal"
"113","Deepshikha","https://en.wikipedia.org/wiki/Deepshikha"
"114","Sabapathy Dekshinamurthy","https://en.wikipedia.org/wiki/Sabapathy_Dekshinamurthy"
"115","Ashish Deo","https://en.wikipedia.org/wiki/Ashish_Deo"
"116","Baljit Singh Deo","https://en.wikipedia.org/wiki/Baljit_Singh_Deo"
"117","Shrabani Deodhar","https://en.wikipedia.org/wiki/Shrabani_Deodhar"
"118","Kunal Deshmukh","https://en.wikipedia.org/wiki/Kunal_Deshmukh"
"119","Devaraj–Mohan","https://en.wikipedia.org/wiki/Devaraj%E2%80%93Mohan"
"120","Chimbu Deven","https://en.wikipedia.org/wiki/Chimbu_Deven"
"121","K. R. Devmani","https://en.wikipedia.org/wiki/K._R._Devmani"
"122","Tharun Bhascker Dhaassyam","https://en.wikipedia.org/wiki/Tharun_Bhascker_Dhaassyam"
"123","Dharani","https://en.wikipedia.org/wiki/Dharani_(director)"
"124","Dharani Dharan","https://en.wikipedia.org/wiki/Dharani_Dharan"
"125","David Dhawan","https://en.wikipedia.org/wiki/David_Dhawan"
"126","Roshni Dinaker","https://en.wikipedia.org/wiki/Roshni_Dinaker"
"127","Rajnesh Domalpalli","https://en.wikipedia.org/wiki/Rajnesh_Domalpalli"
"128","Pankaj Dubey","https://en.wikipedia.org/wiki/Pankaj_Dubey"
"129","Shivendra Singh Dungarpur","https://en.wikipedia.org/wiki/Shivendra_Singh_Dungarpur"
"130","Iqbal Durrani","https://en.wikipedia.org/wiki/Iqbal_Durrani"
"131","Amit Dutta","https://en.wikipedia.org/wiki/Amit_Dutta"
"132","J. P. Dutta","https://en.wikipedia.org/wiki/J._P._Dutta"
"133","Tom Emmatty","https://en.wikipedia.org/wiki/Tom_Emmatty"
